candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,images_source,ID
"[""quiz"", ""supermarket"", ""green"", ""nose"", ""snot""]",repetition,"[""quiz"", ""supermarket""]",100,2,37,5,1,0,swow,27
"[""quiz"", ""supermarket"", ""green"", ""nose"", ""snot""]",question,"[""quiz"", ""snot""]",0,2,38,5,1,0,swow,28
"[""quiz"", ""supermarket"", ""green"", ""nose"", ""snot""]",avocado,"[""supermarket"", ""green""]",67,2,41,5,1,0,swow,29
"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",taken,"[""ring"", ""tag""]",100,2,42,5,1,0,swow,30
"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",finger,"[""chimp"", ""ring""]",67,2,43,5,1,0,swow,31
"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",relationship,"[""chimp"", ""ring""]",67,2,44,5,1,0,swow,32
"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",scarcity,"[""ring"", ""tag""]",100,2,45,5,1,0,swow,33
"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",transaction,"[""money"", ""bill"", ""tag""]",50,3,47,5,1,0,swow,34
"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",waste,"[""bathroom"", ""kidney""]",67,2,50,6,1,0,swow,35
"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",efficient,"[""bathroom"", ""kidney""]",67,2,51,6,1,0,swow,36
"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",holder,"[""sack"", ""kidney""]",67,2,52,6,1,0,swow,37
"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",red,"[""brake"", ""salad""]",67,2,53,6,1,0,swow,38
"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",formal,"[""suit"", ""jewelry""]",67,2,55,6,1,0,swow,39
"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",women,"[""powder"", ""jewelry""]",67,2,56,6,1,0,swow,40
"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",party,"[""suit"", ""powder"", ""jewelry""]",80,3,57,6,1,0,swow,41
"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",adornment,"[""powder"", ""jewelry""]",67,2,58,6,1,0,swow,42
"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",presentable,"[""suit"", ""powder"", ""jewelry""]",50,3,59,6,1,0,swow,43
"[""gravy"", ""butter"", ""tea"", ""writer"", ""food"", ""hangman""]",round,"[""tea"", ""food""]",67,2,61,6,1,0,swow,44
"[""gravy"", ""butter"", ""tea"", ""writer"", ""food"", ""hangman""]",fatty,"[""gravy"", ""butter"", ""tea""]",50,3,62,6,1,0,swow,45
"[""gravy"", ""butter"", ""tea"", ""writer"", ""food"", ""hangman""]",pour,"[""gravy"", ""tea""]",67,2,64,6,1,0,swow,46
"[""food"", ""breakfast"", ""lip"", ""twitter"", ""pan"", ""egg""]",discourse,"[""lip"", ""twitter""]",67,2,67,6,1,0,swow,47
"[""tin"", ""text"", ""letter"", ""theater"", ""bass""]",perform,"[""theater"", ""bass""]",0,2,72,5,1,0,swow,48
"[""tin"", ""text"", ""letter"", ""theater"", ""bass""]",concert,"[""theater"", ""bass""]",67,2,74,5,1,0,swow,49
"[""tin"", ""text"", ""letter"", ""theater"", ""bass""]",harmony,"[""theater"", ""bass""]",67,2,75,5,1,0,swow,50
"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",messy,"[""spit"", ""ketchup""]",100,2,78,5,1,0,swow,51
"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",flavor,"[""ketchup"", ""garlic""]",67,2,79,5,1,0,swow,52
"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",spicy,"[""ketchup"", ""garlic""]",67,2,80,5,1,0,swow,53
"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",blush,"[""spit"", ""ketchup"", ""garlic""]",50,3,82,5,1,0,swow,54
"[""metal"", ""freckles"", ""carnival"", ""paper"", ""office""]",news,"[""freckles"", ""paper"", ""office""]",50,3,85,5,1,0,swow,55
"[""metal"", ""freckles"", ""carnival"", ""paper"", ""office""]",work,"[""paper"", ""office""]",67,2,87,5,1,0,swow,56
"[""metal"", ""freckles"", ""carnival"", ""paper"", ""office""]",gleaming,"[""metal"", ""office""]",100,2,89,5,1,0,swow,57
"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",noggin,"[""art"", ""arachnid"", ""statue""]",50,3,90,6,1,0,swow,58
"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",horrifying,"[""art"", ""arachnid""]",67,2,92,6,1,0,swow,59
"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",furry,"[""spice"", ""arachnid""]",67,2,93,6,1,0,swow,60
"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",blood,"[""chest"", ""lobe"", ""arachnid""]",50,3,95,6,1,0,swow,61
"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",intelligent,"[""male"", ""pig"", ""man""]",0,3,96,6,1,0,swow,62
"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",chad,"[""male"", ""man""]",0,2,98,6,1,0,swow,63
"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",flavor,"[""pig"", ""salt""]",100,2,100,6,1,0,swow,64
"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",breathe,"[""male"", ""pig"", ""man""]",0,3,101,6,1,0,swow,65
"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",roadkill,"[""road"", ""pigeon""]",67,2,102,5,1,0,swow,66
"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",shop,"[""cellphone"", ""street""]",67,2,103,5,1,0,swow,67
"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",outdoor,"[""street"", ""guard"", ""pigeon""]",50,3,104,5,1,0,swow,68
"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",tunnel,"[""street"", ""guard""]",67,2,106,5,1,0,swow,69
"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",road,"[""street"", ""guard"", ""road""]",0,3,107,5,1,0,swow,70
"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",dishes,"[""tea party"", ""rinse""]",67,2,109,6,1,0,swow,71
"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",sailors,"[""music"", ""siren""]",67,2,110,6,1,0,swow,72
"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",framework,"[""music"", ""tea party""]",100,2,111,6,1,0,swow,73
"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",colorful,"[""tea party"", ""rinse"", ""game""]",80,3,113,6,1,0,swow,74
"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",karaoke,"[""musician"", ""music"", ""orchestra""]",80,3,114,6,1,0,swow,75
"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",experience,"[""musician"", ""pizza"", ""orchestra""]",80,3,116,6,1,0,swow,76
"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",culture,"[""musician"", ""pizza"", ""orchestra""]",80,3,117,6,1,0,swow,77
"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",stage,"[""musician"", ""orchestra""]",100,2,118,6,1,0,swow,78
"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",perform,"[""musician"", ""orchestra""]",67,2,119,6,1,0,swow,79
"[""me"", ""ocean"", ""color"", ""sky"", ""red"", ""ham""]",thought,"[""me"", ""ocean"", ""sky""]",50,3,120,6,1,0,swow,80
"[""me"", ""ocean"", ""color"", ""sky"", ""red"", ""ham""]",puffy,"[""ocean"", ""sky""]",100,2,122,6,1,0,swow,81
"[""me"", ""ocean"", ""color"", ""sky"", ""red"", ""ham""]",wild,"[""ocean"", ""sky""]",67,2,125,6,1,0,swow,82
"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",majesty,"[""climb"", ""mountain""]",67,2,126,5,1,0,swow,83
"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",climb,"[""climb"", ""mountain""]",67,2,128,5,1,0,swow,84
"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",work,"[""climb"", ""homework""]",67,2,129,5,0.83,0.24,swow,85
"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",planning,"[""climb"", ""homework""]",67,2,131,5,1,0,swow,86
"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",grain,"[""sandwich"", ""reed""]",67,2,133,6,1,0,swow,87
"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",sprouts,"[""sandwich"", ""reed""]",0,2,135,6,1,0,swow,88
"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",play,"[""woodwind"", ""instrument"", ""music""]",50,3,136,6,1,0,swow,89
"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",plant,"[""sandwich"", ""reed""]",67,2,137,6,1,0,swow,90
"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",slick,"[""shirt"", ""coat""]",100,2,139,5,1,0,swow,91
"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",investigate,"[""shirt"", ""coat""]",100,2,140,5,1,0,swow,92
"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",build,"[""company"", ""wood""]",67,2,141,5,1,0,swow,93
"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",beige,"[""wood"", ""coat""]",0,2,142,5,1,0,swow,94
"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",desk,"[""company"", ""wood""]",67,2,143,5,1,0,swow,95
"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",party,"[""pour"", ""music"", ""beer""]",0,3,144,5,1,0,swow,96
"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",stack,"[""jail"", ""music"", ""pancake""]",50,3,146,5,1,0,swow,97
"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",regret,"[""jail"", ""beer""]",100,2,147,5,1,0,swow,98
"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",metal,"[""jail"", ""music"", ""beer""]",50,3,149,5,1,0,swow,99
"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",donate,"[""organ"", ""blood""]",0,2,150,5,1,0,swow,100
"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",pool,"[""swamp"", ""blood""]",67,2,151,5,1,0,swow,101
"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",liquid,"[""swamp"", ""cola"", ""blood""]",50,3,152,5,1,0,swow,102
"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",cell,"[""organ"", ""blood""]",67,2,153,5,1,0,swow,103
"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",transfusion,"[""organ"", ""blood"", ""red""]",0,3,154,5,1,0,swow,104
"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",internal,"[""organ"", ""blood""]",67,2,155,5,1,0,swow,105
"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",field,"[""forest"", ""slide"", ""ball""]",50,3,157,5,1,0,swow,106
"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",condensation,"[""water"", ""rain""]",0,2,158,5,1,0,swow,107
"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",play,"[""forest"", ""slide"", ""ball""]",50,3,159,5,1,0,swow,108
"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",play,"[""forest"", ""slide"", ""ball""]",50,3,160,5,0.83,0.24,swow,109
"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",climb,"[""forest"", ""slide""]",0,2,161,5,1,0,swow,110
"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",style,"[""princess"", ""woman""]",0,2,164,5,1,0,swow,111
"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",flight,"[""bats"", ""jet""]",0,2,166,5,1,0,swow,112
"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",airborne,"[""bats"", ""jet""]",0,2,167,5,1,0,swow,113
"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",striking,"[""snake"", ""eyebrow""]",0,2,168,5,1,0,swow,114
"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",maneuver,"[""car"", ""snake"", ""driver""]",50,3,169,5,1,0,swow,115
"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",blue,"[""snake"", ""eyebrow"", ""needle""]",0,3,171,5,1,0,swow,116
"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",blue,"[""snake"", ""eyebrow"", ""needle""]",0,3,172,5,1,0,swow,117
"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",above,"[""wing"", ""island"", ""moon""]",50,3,174,6,0.83,0.24,swow,118
"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",light,"[""night"", ""moon""]",100,2,175,6,1,0,swow,119
"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",sky,"[""night"", ""moon""]",67,2,176,6,1,0,swow,120
"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",airborne,"[""wing"", ""island""]",0,2,177,6,1,0,swow,121
"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",heavenly,"[""night"", ""wing"", ""moon""]",50,3,178,6,1,0,swow,122
"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",mare,"[""sleep"", ""moon""]",100,2,179,6,1,0,swow,123
"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",fingerprint,"[""nail"", ""thumb"", ""clap""]",50,3,180,5,1,0,swow,124
"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",pinky,"[""nail"", ""clap""]",0,2,181,5,1,0,swow,125
"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",digits,"[""nail"", ""thumb"", ""clap""]",50,3,182,5,1,0,swow,126
"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",indicate,"[""thumb"", ""pin""]",67,2,185,5,1,0,swow,127
"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",carry,"[""wagon"", ""snail""]",0,2,189,6,1,0,swow,128
"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",nation,"[""country"", ""flag""]",0,2,190,6,1,0,swow,129
"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",cartridge,"[""wagon"", ""printing""]",67,2,191,6,1,0,swow,130
"[""sun"", ""pickle"", ""homework"", ""face"", ""spot""]",circular,"[""sun"", ""pickle"", ""spot""]",80,3,192,5,1,0,swow,131
"[""sun"", ""pickle"", ""homework"", ""face"", ""spot""]",technical,"[""homework"", ""spot""]",0,2,193,5,1,0,swow,132
"[""sun"", ""pickle"", ""homework"", ""face"", ""spot""]",lens,"[""face"", ""spot""]",67,2,195,5,1,0,swow,133
"[""sun"", ""pickle"", ""homework"", ""face"", ""spot""]",protection,"[""sun"", ""pickle""]",67,2,196,5,1,0,swow,134
"[""money"", ""hunter"", ""treasure"", ""teaspoon"", ""golf""]",face,"[""treasure"", ""golf""]",67,2,206,5,1,0,swow,135
"[""money"", ""hunter"", ""treasure"", ""teaspoon"", ""golf""]",hobby,"[""hunter"", ""golf""]",67,2,207,5,1,0,swow,136
"[""paper"", ""spam"", ""bed"", ""music"", ""cradle""]",holder,"[""bed"", ""cradle""]",67,2,212,5,1,0,swow,137
"[""paper"", ""spam"", ""bed"", ""music"", ""cradle""]",lazy,"[""spam"", ""bed""]",67,2,213,5,1,0,swow,138
"[""paper"", ""spam"", ""bed"", ""music"", ""cradle""]",rest,"[""bed"", ""music"", ""cradle""]",0,3,214,5,1,0,swow,139
"[""paper"", ""spam"", ""bed"", ""music"", ""cradle""]",support,"[""bed"", ""cradle""]",67,2,215,5,1,0,swow,140
"[""gold"", ""ice cream"", ""rice"", ""wave"", ""money""]",luxury,"[""gold"", ""ice cream""]",67,2,216,5,1,0,swow,141
"[""gold"", ""ice cream"", ""rice"", ""wave"", ""money""]",hold,"[""ice cream"", ""rice"", ""money""]",50,3,217,5,1,0,swow,142
"[""gold"", ""ice cream"", ""rice"", ""wave"", ""money""]",onepercent,"[""gold"", ""money""]",67,2,220,5,1,0,swow,143
"[""gold"", ""ice cream"", ""rice"", ""wave"", ""money""]",goonies,"[""gold"", ""wave"", ""money""]",50,3,221,5,1,0,swow,144
"[""blood"", ""curly"", ""woman"", ""brick"", ""pad"", ""grease""]",dreamy,"[""curly"", ""woman"", ""grease""]",0,3,222,6,1,0,swow,145
"[""blood"", ""curly"", ""woman"", ""brick"", ""pad"", ""grease""]",broad,"[""curly"", ""woman"", ""grease""]",50,3,223,6,0.83,0.24,swow,146
"[""blood"", ""curly"", ""woman"", ""brick"", ""pad"", ""grease""]",red,"[""blood"", ""curly"", ""pad"", ""grease""]",67,4,225,6,1,0,swow,147
"[""wax"", ""nail"", ""wood"", ""shoe"", ""cradle"", ""list""]",note,"[""shoe"", ""cradle"", ""list""]",80,3,230,6,1,0,swow,148
"[""wax"", ""nail"", ""wood"", ""shoe"", ""cradle"", ""list""]",smooth,"[""wax"", ""nail"", ""wood""]",0,3,233,6,1,0,swow,149
"[""ashes"", ""body"", ""leftovers"", ""glue"", ""mail"", ""dead""]",body,"[""ashes"", ""body"", ""dead""]",50,3,234,6,1,0,swow,150
"[""ashes"", ""body"", ""leftovers"", ""glue"", ""mail"", ""dead""]",entertainment,"[""ashes"", ""dead""]",67,2,235,6,1,0,swow,151
"[""ashes"", ""body"", ""leftovers"", ""glue"", ""mail"", ""dead""]",digest,"[""body"", ""leftovers""]",100,2,236,6,1,0,swow,152
"[""ashes"", ""body"", ""leftovers"", ""glue"", ""mail"", ""dead""]",top,"[""leftovers"", ""glue""]",100,2,237,6,1,0,swow,153
"[""food"", ""spaceship"", ""gravy"", ""letter"", ""stomach""]",gas,"[""spaceship"", ""stomach""]",67,2,240,5,1,0,swow,154
"[""food"", ""spaceship"", ""gravy"", ""letter"", ""stomach""]",burn,"[""spaceship"", ""stomach""]",100,2,241,5,1,0,swow,155
"[""food"", ""spaceship"", ""gravy"", ""letter"", ""stomach""]",swallow,"[""food"", ""gravy"", ""stomach""]",80,3,243,5,1,0,swow,156
"[""food"", ""spaceship"", ""gravy"", ""letter"", ""stomach""]",inform,"[""letter"", ""stomach""]",0,2,244,5,1,0,swow,157
"[""food"", ""spaceship"", ""gravy"", ""letter"", ""stomach""]",consume,"[""food"", ""gravy"", ""stomach""]",0,3,245,5,1,0,swow,158
"[""ship"", ""puffy"", ""crocodile"", ""eyes"", ""ocean"", ""boat""]",seeing,"[""crocodile"", ""eyes""]",67,2,247,6,1,0,swow,159
"[""ship"", ""puffy"", ""crocodile"", ""eyes"", ""ocean"", ""boat""]",cargo,"[""ship"", ""boat""]",0,2,248,6,1,0,swow,160
"[""ship"", ""puffy"", ""crocodile"", ""eyes"", ""ocean"", ""boat""]",neutral,"[""puffy"", ""crocodile""]",67,2,249,6,1,0,swow,161
"[""ship"", ""puffy"", ""crocodile"", ""eyes"", ""ocean"", ""boat""]",surf,"[""ocean"", ""boat""]",67,2,250,6,1,0,swow,162
"[""ship"", ""puffy"", ""crocodile"", ""eyes"", ""ocean"", ""boat""]",pattern,"[""ship"", ""puffy"", ""crocodile""]",80,3,251,6,1,0,swow,163
"[""ceramic"", ""baby"", ""trap"", ""fetus"", ""raisin"", ""zombie""]",danger,"[""trap"", ""zombie""]",67,2,252,6,1,0,swow,164
"[""ceramic"", ""baby"", ""trap"", ""fetus"", ""raisin"", ""zombie""]",procreate,"[""baby"", ""fetus""]",67,2,253,6,1,0,swow,165
"[""ceramic"", ""baby"", ""trap"", ""fetus"", ""raisin"", ""zombie""]",stages,"[""baby"", ""fetus"", ""zombie""]",80,3,254,6,1,0,swow,166
"[""ceramic"", ""baby"", ""trap"", ""fetus"", ""raisin"", ""zombie""]",crawl,"[""baby"", ""zombie""]",67,2,256,6,1,0,swow,167
"[""ceramic"", ""baby"", ""trap"", ""fetus"", ""raisin"", ""zombie""]",face,"[""baby"", ""fetus"", ""zombie""]",50,3,257,6,1,0,swow,168
"[""stage"", ""speaker"", ""telephone"", ""dusk"", ""stand""]",microphone,"[""telephone"", ""stand""]",0,2,260,5,1,0,swow,169
"[""stage"", ""speaker"", ""telephone"", ""dusk"", ""stand""]",performance,"[""stage"", ""stand""]",0,2,263,5,1,0,swow,170
"[""two"", ""yelling"", ""bus"", ""train"", ""car""]",loud,"[""yelling"", ""train""]",67,2,264,5,1,0,swow,171
"[""two"", ""yelling"", ""bus"", ""train"", ""car""]",wheels,"[""bus"", ""train"", ""car""]",50,3,265,5,1,0,swow,172
"[""two"", ""yelling"", ""bus"", ""train"", ""car""]",bridgework,"[""yelling"", ""train""]",0,2,266,5,1,0,swow,173
"[""two"", ""yelling"", ""bus"", ""train"", ""car""]",arrive,"[""bus"", ""train"", ""car""]",80,3,268,5,1,0,swow,174
"[""shirt"", ""tongue"", ""food"", ""shrimp"", ""glove""]",material,"[""shirt"", ""glove""]",100,2,270,5,1,0,swow,175
"[""shirt"", ""tongue"", ""food"", ""shrimp"", ""glove""]",seasoning,"[""food"", ""shrimp""]",0,2,271,5,1,0,swow,176
"[""shirt"", ""tongue"", ""food"", ""shrimp"", ""glove""]",pant,"[""shirt"", ""tongue""]",0,2,273,5,1,0,swow,177
"[""shirt"", ""tongue"", ""food"", ""shrimp"", ""glove""]",hold,"[""shirt"", ""glove""]",67,2,275,5,1,0,swow,178
"[""beard"", ""thread"", ""sewing"", ""needle"", ""smoking"", ""biker""]",pin,"[""thread"", ""sewing"", ""needle""]",50,3,277,6,1,0,swow,179
"[""beard"", ""thread"", ""sewing"", ""needle"", ""smoking"", ""biker""]",cool,"[""beard"", ""smoking"", ""biker""]",80,3,280,6,1,0,swow,180
"[""beard"", ""thread"", ""sewing"", ""needle"", ""smoking"", ""biker""]",rebel,"[""beard"", ""smoking"", ""biker""]",50,3,281,6,1,0,swow,181
"[""rake"", ""fish"", ""glass"", ""water"", ""aquarium"", ""washing machine""]",marine,"[""fish"", ""glass"", ""aquarium""]",0,3,282,6,1,0,swow,182
"[""rake"", ""fish"", ""glass"", ""water"", ""aquarium"", ""washing machine""]",crystal,"[""glass"", ""water""]",0,2,283,6,1,0,swow,183
"[""rake"", ""fish"", ""glass"", ""water"", ""aquarium"", ""washing machine""]",trough,"[""water"", ""aquarium""]",67,2,285,6,1,0,swow,184
"[""rake"", ""fish"", ""glass"", ""water"", ""aquarium"", ""washing machine""]",tasty,"[""fish"", ""aquarium""]",100,2,287,6,1,0,swow,185
"[""coke"", ""urn"", ""marshmallow"", ""food"", ""fat""]",unhealthy,"[""coke"", ""marshmallow"", ""fat""]",0,3,288,5,1,0,swow,186
"[""coke"", ""urn"", ""marshmallow"", ""food"", ""fat""]",consequence,"[""coke"", ""fat""]",67,2,290,5,1,0,swow,187
"[""coke"", ""urn"", ""marshmallow"", ""food"", ""fat""]",portion,"[""food"", ""fat""]",67,2,291,5,1,0,swow,188
"[""coke"", ""urn"", ""marshmallow"", ""food"", ""fat""]",unhealthy,"[""coke"", ""marshmallow"", ""fat""]",0,3,292,5,1,0,swow,189
