HITId,candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,images_source,ID
3PUV2Q8SV4QBAAHYMVQ4ANGJQPOBDX,"[""food"", ""prune"", ""art"", ""water"", ""newt""]",rainforest,"[""prune"", ""newt""]",67,2,30,5,1.0,0.0,swow,23
3PUV2Q8SV4QBAAHYMVQ4ANGJQPOBDX,"[""food"", ""prune"", ""art"", ""water"", ""newt""]",fresh,"[""food"", ""water""]",67,2,31,5,1.0,0.0,swow,24
3PUV2Q8SV4QBAAHYMVQ4ANGJQPOBDX,"[""food"", ""prune"", ""art"", ""water"", ""newt""]",yikes,"[""art"", ""newt""]",67,2,32,5,1.0,0.0,swow,25
3PUV2Q8SV4QBAAHYMVQ4ANGJQPOBDX,"[""food"", ""prune"", ""art"", ""water"", ""newt""]",waste,"[""prune"", ""water""]",67,2,35,5,1.0,0.0,swow,26
38LRF35D5LISOHO7TX1N24MVOX6U3Z,"[""quiz"", ""supermarket"", ""green"", ""nose"", ""snot""]",repetition,"[""quiz"", ""supermarket""]",100,2,37,5,1.0,0.0,swow,27
38LRF35D5LISOHO7TX1N24MVOX6U3Z,"[""quiz"", ""supermarket"", ""green"", ""nose"", ""snot""]",question,"[""quiz"", ""snot""]",0,2,38,5,1.0,0.0,swow,28
38LRF35D5LISOHO7TX1N24MVOX6U3Z,"[""quiz"", ""supermarket"", ""green"", ""nose"", ""snot""]",avocado,"[""supermarket"", ""green""]",67,2,41,5,1.0,0.0,swow,29
3UYRNV2KITL1UOA48DKXFQ2CWN58ND,"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",taken,"[""ring"", ""tag""]",100,2,42,5,1.0,0.0,swow,30
3UYRNV2KITL1UOA48DKXFQ2CWN58ND,"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",finger,"[""chimp"", ""ring""]",67,2,43,5,1.0,0.0,swow,31
3UYRNV2KITL1UOA48DKXFQ2CWN58ND,"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",relationship,"[""chimp"", ""ring""]",67,2,44,5,1.0,0.0,swow,32
3UYRNV2KITL1UOA48DKXFQ2CWN58ND,"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",scarcity,"[""ring"", ""tag""]",100,2,45,5,1.0,0.0,swow,33
3UYRNV2KITL1UOA48DKXFQ2CWN58ND,"[""chimp"", ""ring"", ""money"", ""bill"", ""tag""]",transaction,"[""money"", ""bill"", ""tag""]",50,3,47,5,1.0,0.0,swow,34
3ZFRE2BDQ90LQEPVJ97JQCQEXAMXZR,"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",waste,"[""bathroom"", ""kidney""]",67,2,50,6,1.0,0.0,swow,35
3ZFRE2BDQ90LQEPVJ97JQCQEXAMXZR,"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",efficient,"[""bathroom"", ""kidney""]",67,2,51,6,1.0,0.0,swow,36
3ZFRE2BDQ90LQEPVJ97JQCQEXAMXZR,"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",holder,"[""sack"", ""kidney""]",67,2,52,6,1.0,0.0,swow,37
3ZFRE2BDQ90LQEPVJ97JQCQEXAMXZR,"[""brake"", ""sack"", ""bathroom"", ""salad"", ""green"", ""kidney""]",red,"[""brake"", ""salad""]",67,2,53,6,1.0,0.0,swow,38
3ZC62PVYDHWWLJPGIRJYTRA3PAOXXU,"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",formal,"[""suit"", ""jewelry""]",67,2,55,6,1.0,0.0,swow,39
3ZC62PVYDHWWLJPGIRJYTRA3PAOXXU,"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",women,"[""powder"", ""jewelry""]",67,2,56,6,1.0,0.0,swow,40
3ZC62PVYDHWWLJPGIRJYTRA3PAOXXU,"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",party,"[""suit"", ""powder"", ""jewelry""]",80,3,57,6,1.0,0.0,swow,41
3ZC62PVYDHWWLJPGIRJYTRA3PAOXXU,"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",adornment,"[""powder"", ""jewelry""]",67,2,58,6,1.0,0.0,swow,42
3ZC62PVYDHWWLJPGIRJYTRA3PAOXXU,"[""suit"", ""powder"", ""jewelry"", ""shirt"", ""trail"", ""sleeve""]",presentable,"[""suit"", ""powder"", ""jewelry""]",50,3,59,6,1.0,0.0,swow,43
3KTZHH2ONI1VC6P4WC5X2BDCRXVM8R,"[""gravy"", ""butter"", ""tea"", ""writer"", ""food"", ""hangman""]",round,"[""tea"", ""food""]",67,2,61,6,1.0,0.0,swow,44
3KTZHH2ONI1VC6P4WC5X2BDCRXVM8R,"[""gravy"", ""butter"", ""tea"", ""writer"", ""food"", ""hangman""]",fatty,"[""gravy"", ""butter"", ""tea""]",50,3,62,6,1.0,0.0,swow,45
3KTZHH2ONI1VC6P4WC5X2BDCRXVM8R,"[""gravy"", ""butter"", ""tea"", ""writer"", ""food"", ""hangman""]",pour,"[""gravy"", ""tea""]",67,2,64,6,1.0,0.0,swow,46
3KTZHH2ONI1VC6P4WC5X2BDCRXV8MD,"[""food"", ""breakfast"", ""lip"", ""twitter"", ""pan"", ""egg""]",discourse,"[""lip"", ""twitter""]",67,2,67,6,1.0,0.0,swow,47
3M93N4X8HK9NUIYS7DYA3ALWZX7JSK,"[""tin"", ""text"", ""letter"", ""theater"", ""bass""]",perform,"[""theater"", ""bass""]",0,2,72,5,1.0,0.0,swow,48
3M93N4X8HK9NUIYS7DYA3ALWZX7JSK,"[""tin"", ""text"", ""letter"", ""theater"", ""bass""]",concert,"[""theater"", ""bass""]",67,2,74,5,1.0,0.0,swow,49
3M93N4X8HK9NUIYS7DYA3ALWZX7JSK,"[""tin"", ""text"", ""letter"", ""theater"", ""bass""]",harmony,"[""theater"", ""bass""]",67,2,75,5,1.0,0.0,swow,50
3OWZNK3RYLB33ZSOPXNIJUH3IJ6U2O,"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",messy,"[""spit"", ""ketchup""]",100,2,78,5,1.0,0.0,swow,51
3OWZNK3RYLB33ZSOPXNIJUH3IJ6U2O,"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",flavor,"[""ketchup"", ""garlic""]",67,2,79,5,1.0,0.0,swow,52
3OWZNK3RYLB33ZSOPXNIJUH3IJ6U2O,"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",spicy,"[""ketchup"", ""garlic""]",67,2,80,5,1.0,0.0,swow,53
3OWZNK3RYLB33ZSOPXNIJUH3IJ6U2O,"[""green"", ""spit"", ""ketchup"", ""garlic"", ""earth""]",blush,"[""spit"", ""ketchup"", ""garlic""]",50,3,82,5,1.0,0.0,swow,54
34O39PNDK6U5BK034WLOFCXN5QFRBJ,"[""metal"", ""freckles"", ""carnival"", ""paper"", ""office""]",news,"[""freckles"", ""paper"", ""office""]",50,3,85,5,1.0,0.0,swow,55
34O39PNDK6U5BK034WLOFCXN5QFRBJ,"[""metal"", ""freckles"", ""carnival"", ""paper"", ""office""]",work,"[""paper"", ""office""]",67,2,87,5,1.0,0.0,swow,56
34O39PNDK6U5BK034WLOFCXN5QFRBJ,"[""metal"", ""freckles"", ""carnival"", ""paper"", ""office""]",gleaming,"[""metal"", ""office""]",100,2,89,5,1.0,0.0,swow,57
309D674SHZ715IBKMZVTQHY15PCBCX,"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",noggin,"[""art"", ""arachnid"", ""statue""]",50,3,90,6,1.0,0.0,swow,58
309D674SHZ715IBKMZVTQHY15PCBCX,"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",horrifying,"[""art"", ""arachnid""]",67,2,92,6,1.0,0.0,swow,59
309D674SHZ715IBKMZVTQHY15PCBCX,"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",furry,"[""spice"", ""arachnid""]",67,2,93,6,1.0,0.0,swow,60
309D674SHZ715IBKMZVTQHY15PCBCX,"[""chest"", ""art"", ""lobe"", ""spice"", ""arachnid"", ""statue""]",blood,"[""chest"", ""lobe"", ""arachnid""]",50,3,95,6,1.0,0.0,swow,61
34HEO7RUG6G0SAVBYILSK1DHN8URAO,"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",intelligent,"[""male"", ""pig"", ""man""]",0,3,96,6,1.0,0.0,swow,62
34HEO7RUG6G0SAVBYILSK1DHN8URAO,"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",chad,"[""male"", ""man""]",0,2,98,6,1.0,0.0,swow,63
34HEO7RUG6G0SAVBYILSK1DHN8URAO,"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",flavor,"[""pig"", ""salt""]",100,2,100,6,1.0,0.0,swow,64
34HEO7RUG6G0SAVBYILSK1DHN8URAO,"[""male"", ""barrier"", ""pig"", ""man"", ""disc"", ""salt""]",breathe,"[""male"", ""pig"", ""man""]",0,3,101,6,1.0,0.0,swow,65
3MD8CKRQZZ9BT3YFSOY5D0G0DVOJRW,"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",roadkill,"[""road"", ""pigeon""]",67,2,102,5,1.0,0.0,swow,66
3MD8CKRQZZ9BT3YFSOY5D0G0DVOJRW,"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",shop,"[""cellphone"", ""street""]",67,2,103,5,1.0,0.0,swow,67
3MD8CKRQZZ9BT3YFSOY5D0G0DVOJRW,"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",outdoor,"[""street"", ""guard"", ""pigeon""]",50,3,104,5,1.0,0.0,swow,68
3MD8CKRQZZ9BT3YFSOY5D0G0DVOJRW,"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",tunnel,"[""street"", ""guard""]",67,2,106,5,1.0,0.0,swow,69
3MD8CKRQZZ9BT3YFSOY5D0G0DVOJRW,"[""cellphone"", ""street"", ""guard"", ""road"", ""pigeon""]",road,"[""street"", ""guard"", ""road""]",0,3,107,5,1.0,0.0,swow,70
36AZSFEYZ4MX4RHKDGQYG9MQQWSVBG,"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",dishes,"[""tea party"", ""rinse""]",67,2,109,6,1.0,0.0,swow,71
36AZSFEYZ4MX4RHKDGQYG9MQQWSVBG,"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",sailors,"[""music"", ""siren""]",67,2,110,6,1.0,0.0,swow,72
36AZSFEYZ4MX4RHKDGQYG9MQQWSVBG,"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",framework,"[""music"", ""tea party""]",100,2,111,6,1.0,0.0,swow,73
36AZSFEYZ4MX4RHKDGQYG9MQQWSVBG,"[""board"", ""music"", ""tea party"", ""rinse"", ""siren"", ""game""]",colorful,"[""tea party"", ""rinse"", ""game""]",80,3,113,6,1.0,0.0,swow,74
3DZKABX2ZIRGEW9QRGMTRTS88HSVCN,"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",karaoke,"[""musician"", ""music"", ""orchestra""]",80,3,114,6,1.0,0.0,swow,75
3DZKABX2ZIRGEW9QRGMTRTS88HSVCN,"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",experience,"[""musician"", ""pizza"", ""orchestra""]",80,3,116,6,1.0,0.0,swow,76
3DZKABX2ZIRGEW9QRGMTRTS88HSVCN,"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",culture,"[""musician"", ""pizza"", ""orchestra""]",80,3,117,6,1.0,0.0,swow,77
3DZKABX2ZIRGEW9QRGMTRTS88HSVCN,"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",stage,"[""musician"", ""orchestra""]",100,2,118,6,1.0,0.0,swow,78
3DZKABX2ZIRGEW9QRGMTRTS88HSVCN,"[""strings"", ""musician"", ""music"", ""edge"", ""pizza"", ""orchestra""]",perform,"[""musician"", ""orchestra""]",67,2,119,6,1.0,0.0,swow,79
3ZZAYRN1I6D2AT24CQV5LBY40AVOTX,"[""me"", ""ocean"", ""color"", ""sky"", ""red"", ""ham""]",thought,"[""me"", ""ocean"", ""sky""]",50,3,120,6,1.0,0.0,swow,80
3ZZAYRN1I6D2AT24CQV5LBY40AVOTX,"[""me"", ""ocean"", ""color"", ""sky"", ""red"", ""ham""]",puffy,"[""ocean"", ""sky""]",100,2,122,6,1.0,0.0,swow,81
3ZZAYRN1I6D2AT24CQV5LBY40AVOTX,"[""me"", ""ocean"", ""color"", ""sky"", ""red"", ""ham""]",wild,"[""ocean"", ""sky""]",67,2,125,6,1.0,0.0,swow,82
363A7XIFV48SLHCS72Q2LY2K8E7VAL,"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",majesty,"[""climb"", ""mountain""]",67,2,126,5,1.0,0.0,swow,83
363A7XIFV48SLHCS72Q2LY2K8E7VAL,"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",climb,"[""climb"", ""mountain""]",67,2,128,5,1.0,0.0,swow,84
363A7XIFV48SLHCS72Q2LY2K8E7VAL,"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",work,"[""climb"", ""homework""]",67,2,129,5,0.83,0.24,swow,85
363A7XIFV48SLHCS72Q2LY2K8E7VAL,"[""climb"", ""homework"", ""green"", ""grandmother"", ""mountain""]",planning,"[""climb"", ""homework""]",67,2,131,5,1.0,0.0,swow,86
3I7SHAD35MIRCSKLM7DROBHHGDPM74,"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",grain,"[""sandwich"", ""reed""]",67,2,133,6,1.0,0.0,swow,87
3I7SHAD35MIRCSKLM7DROBHHGDPM74,"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",sprouts,"[""sandwich"", ""reed""]",0,2,135,6,1.0,0.0,swow,88
3I7SHAD35MIRCSKLM7DROBHHGDPM74,"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",play,"[""woodwind"", ""instrument"", ""music""]",50,3,136,6,1.0,0.0,swow,89
3I7SHAD35MIRCSKLM7DROBHHGDPM74,"[""woodwind"", ""thesaurus"", ""instrument"", ""sandwich"", ""music"", ""reed""]",plant,"[""sandwich"", ""reed""]",67,2,137,6,1.0,0.0,swow,90
38DCH97KHHOBH2JFF9958A6VH9MJQV,"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",slick,"[""shirt"", ""coat""]",100,2,139,5,1.0,0.0,swow,91
38DCH97KHHOBH2JFF9958A6VH9MJQV,"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",investigate,"[""shirt"", ""coat""]",100,2,140,5,1.0,0.0,swow,92
38DCH97KHHOBH2JFF9958A6VH9MJQV,"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",build,"[""company"", ""wood""]",67,2,141,5,1.0,0.0,swow,93
38DCH97KHHOBH2JFF9958A6VH9MJQV,"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",beige,"[""wood"", ""coat""]",0,2,142,5,1.0,0.0,swow,94
38DCH97KHHOBH2JFF9958A6VH9MJQV,"[""company"", ""limo"", ""shirt"", ""wood"", ""coat""]",desk,"[""company"", ""wood""]",67,2,143,5,1.0,0.0,swow,95
31JUPBOORNQB6O7JW04I2YYNRS58LB,"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",party,"[""pour"", ""music"", ""beer""]",0,3,144,5,1.0,0.0,swow,96
31JUPBOORNQB6O7JW04I2YYNRS58LB,"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",stack,"[""jail"", ""music"", ""pancake""]",50,3,146,5,1.0,0.0,swow,97
31JUPBOORNQB6O7JW04I2YYNRS58LB,"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",regret,"[""jail"", ""beer""]",100,2,147,5,1.0,0.0,swow,98
31JUPBOORNQB6O7JW04I2YYNRS58LB,"[""jail"", ""pour"", ""music"", ""beer"", ""pancake""]",metal,"[""jail"", ""music"", ""beer""]",50,3,149,5,1.0,0.0,swow,99
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",donate,"[""organ"", ""blood""]",0,2,150,5,1.0,0.0,swow,100
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",pool,"[""swamp"", ""blood""]",67,2,151,5,1.0,0.0,swow,101
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",liquid,"[""swamp"", ""cola"", ""blood""]",50,3,152,5,1.0,0.0,swow,102
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",cell,"[""organ"", ""blood""]",67,2,153,5,1.0,0.0,swow,103
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",transfusion,"[""organ"", ""blood"", ""red""]",0,3,154,5,1.0,0.0,swow,104
3BA7SXOG1JCM9M2W1K1EOA7MXKUR8K,"[""swamp"", ""cola"", ""organ"", ""blood"", ""red""]",internal,"[""organ"", ""blood""]",67,2,155,5,1.0,0.0,swow,105
32ZCLEW0BZ6QHQI0FWUG85GLCD0JP4,"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",field,"[""forest"", ""slide"", ""ball""]",50,3,157,5,1.0,0.0,swow,106
32ZCLEW0BZ6QHQI0FWUG85GLCD0JP4,"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",condensation,"[""water"", ""rain""]",0,2,158,5,1.0,0.0,swow,107
32ZCLEW0BZ6QHQI0FWUG85GLCD0JP4,"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",play,"[""forest"", ""slide"", ""ball""]",50,3,159,5,1.0,0.0,swow,108
32ZCLEW0BZ6QHQI0FWUG85GLCD0JP4,"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",play,"[""forest"", ""slide"", ""ball""]",50,3,160,5,0.83,0.24,swow,109
32ZCLEW0BZ6QHQI0FWUG85GLCD0JP4,"[""forest"", ""water"", ""slide"", ""ball"", ""rain""]",climb,"[""forest"", ""slide""]",0,2,161,5,1.0,0.0,swow,110
3Z56AA6EK4M88S6G3X8ZIXHLL25M65,"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",style,"[""princess"", ""woman""]",0,2,164,5,1.0,0.0,swow,111
3Z56AA6EK4M88S6G3X8ZIXHLL25M65,"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",flight,"[""bats"", ""jet""]",0,2,166,5,1.0,0.0,swow,112
3Z56AA6EK4M88S6G3X8ZIXHLL25M65,"[""list"", ""princess"", ""bats"", ""jet"", ""woman""]",airborne,"[""bats"", ""jet""]",0,2,167,5,1.0,0.0,swow,113
32CAVSKPCEBWEEAS6TN4EB7YQDSU17,"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",striking,"[""snake"", ""eyebrow""]",0,2,168,5,1.0,0.0,swow,114
32CAVSKPCEBWEEAS6TN4EB7YQDSU17,"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",maneuver,"[""car"", ""snake"", ""driver""]",50,3,169,5,1.0,0.0,swow,115
32CAVSKPCEBWEEAS6TN4EB7YQDSU17,"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",blue,"[""snake"", ""eyebrow"", ""needle""]",0,3,171,5,1.0,0.0,swow,116
32CAVSKPCEBWEEAS6TN4EB7YQDSU17,"[""car"", ""snake"", ""eyebrow"", ""driver"", ""needle""]",blue,"[""snake"", ""eyebrow"", ""needle""]",0,3,172,5,1.0,0.0,swow,117
33QQ60S6AS4W7PPAAAJ406OOLLMU04,"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",above,"[""wing"", ""island"", ""moon""]",50,3,174,6,0.83,0.24,swow,118
33QQ60S6AS4W7PPAAAJ406OOLLMU04,"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",light,"[""night"", ""moon""]",100,2,175,6,1.0,0.0,swow,119
33QQ60S6AS4W7PPAAAJ406OOLLMU04,"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",sky,"[""night"", ""moon""]",67,2,176,6,1.0,0.0,swow,120
33QQ60S6AS4W7PPAAAJ406OOLLMU04,"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",airborne,"[""wing"", ""island""]",0,2,177,6,1.0,0.0,swow,121
33QQ60S6AS4W7PPAAAJ406OOLLMU04,"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",heavenly,"[""night"", ""wing"", ""moon""]",50,3,178,6,1.0,0.0,swow,122
33QQ60S6AS4W7PPAAAJ406OOLLMU04,"[""night"", ""wing"", ""sleep"", ""dark"", ""island"", ""moon""]",mare,"[""sleep"", ""moon""]",100,2,179,6,1.0,0.0,swow,123
3Z33IC0JC08EGY2NFWC2P3R02WPV96,"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",fingerprint,"[""nail"", ""thumb"", ""clap""]",50,3,180,5,1.0,0.0,swow,124
3Z33IC0JC08EGY2NFWC2P3R02WPV96,"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",pinky,"[""nail"", ""clap""]",0,2,181,5,1.0,0.0,swow,125
3Z33IC0JC08EGY2NFWC2P3R02WPV96,"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",digits,"[""nail"", ""thumb"", ""clap""]",50,3,182,5,1.0,0.0,swow,126
3Z33IC0JC08EGY2NFWC2P3R02WPV96,"[""nail"", ""thumb"", ""clap"", ""pin"", ""pulp""]",indicate,"[""thumb"", ""pin""]",67,2,185,5,1.0,0.0,swow,127
3TD33TP5DLODC3EM2LZ2KM8D5MRBAV,"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",carry,"[""wagon"", ""snail""]",0,2,189,6,1.0,0.0,swow,128
3TD33TP5DLODC3EM2LZ2KM8D5MRBAV,"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",nation,"[""country"", ""flag""]",0,2,190,6,1.0,0.0,swow,129
3TD33TP5DLODC3EM2LZ2KM8D5MRBAV,"[""country"", ""wagon"", ""printing"", ""weed"", ""flag"", ""snail""]",cartridge,"[""wagon"", ""printing""]",67,2,191,6,1.0,0.0,swow,130
