candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,ID,clip_vit32_predictions,annotations_label
"[""bunny"", ""darts"", ""cloak"", ""hog"", ""gift"", ""airplane"", ""icing"", ""structure"", ""border"", ""bag"", ""snack"", ""clerk""]",quadruped,"[""bunny"", ""hog""]",0,2,29,12,1.0,0.0,13,"[""hog"", ""bunny""]","{""hog"": ""Non Visual, Concept Related"", ""bunny"": ""Non Visual, Concept Related""}"
"[""chin"", ""liter"", ""pretzel"", ""tea"", ""bottom"", ""sweater"", ""tower"", ""cutlery"", ""mommy"", ""tree""]",orchard,"[""bottom"", ""tree""]",0,2,31,10,1.0,0.0,14,"[""tree"", ""bottom""]","{""tree"": ""Non Visual, Concept Related"", ""bottom"": ""Non Visual, Concept Related""}"
"[""chin"", ""liter"", ""pretzel"", ""tea"", ""bottom"", ""sweater"", ""tower"", ""cutlery"", ""mommy"", ""tree""]",urine,"[""liter"", ""tea""]",0,2,33,10,1.0,0.0,15,"[""liter"", ""tea""]","{""liter"": ""Non Visual, Concept Related"", ""tea"": ""Non Visual, Concept Related""}"
"[""chin"", ""liter"", ""pretzel"", ""tea"", ""bottom"", ""sweater"", ""tower"", ""cutlery"", ""mommy"", ""tree""]",gulp,"[""liter"", ""tea""]",67,2,35,10,1.0,0.0,16,"[""liter"", ""tea""]","{""tea"": ""Non Visual, Concept Related"", ""liter"": ""Non Visual, Concept Related""}"
"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",nocturnal,"[""batman"", ""kitten""]",0,2,38,10,1.0,0.0,19,"[""needle"", ""kitten""]","{""batman"": ""Non Visual, Concept Related"", ""kitten"": ""Non Visual, Concept Related""}"
"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",dance,"[""mule"", ""stereo""]",100,2,39,10,1.0,0.0,20,"[""hook"", ""dice""]","{""stereo"": ""Non Visual, Concept Related"", ""mule"": ""Non Visual, Concept Related""}"
"[""batman"", ""needle"", ""mule"", ""stereo"", ""hook"", ""chlorine"", ""credit card"", ""dice"", ""pine"", ""kitten""]",dark,"[""batman"", ""stereo""]",67,2,41,10,1.0,0.0,22,"[""batman"", ""kitten""]","{""batman"": ""Non Visual, Concept Related"", ""stereo"": ""Visually Non-Salient""}"
"[""clicker"", ""walrus"", ""antarctic"", ""colt"", ""singer"", ""tennis"", ""night"", ""prince"", ""hot"", ""sunburn"", ""roller coaster"", ""shepherd""]",animal,"[""walrus"", ""shepherd""]",67,2,42,12,1.0,0.0,23,"[""shepherd"", ""walrus""]","{""shepherd"": ""Non Visual, Concept Related"", ""walrus"": ""Non Visual, Concept Related""}"
"[""clap"", ""furniture"", ""china"", ""shoelace"", ""fender"", ""mug"", ""queen"", ""television"", ""splinter"", ""cola"", ""jigsaw"", ""billboard""]",boss,"[""queen"", ""billboard""]",67,2,48,12,1.0,0.0,25,"[""queen"", ""cola""]","{""queen"": ""Non Visual, Concept Related"", ""billboard"": ""OCR""}"
"[""clap"", ""furniture"", ""china"", ""shoelace"", ""fender"", ""mug"", ""queen"", ""television"", ""splinter"", ""cola"", ""jigsaw"", ""billboard""]",drink,"[""mug"", ""cola""]",0,2,51,12,1.0,0.0,26,"[""cola"", ""mug""]","{""cola"": ""Non Visual, Concept Related"", ""mug"": ""Non Visual, Concept Related""}"
"[""clap"", ""furniture"", ""china"", ""shoelace"", ""fender"", ""mug"", ""queen"", ""television"", ""splinter"", ""cola"", ""jigsaw"", ""billboard""]",company,"[""cola"", ""jigsaw"", ""billboard""]",50,3,53,12,0.83,0.24,27,"[""billboard"", ""cola"", ""clap""]","{""jigsaw"": ""Visually Non-Salient"", ""billboard"": ""OCR"", ""cola"": ""Non Visual, Concept Related""}"
"[""champagne"", ""judo"", ""splinter"", ""neck"", ""blackboard"", ""marsh"", ""writer"", ""mice"", ""maple"", ""custard""]",nibble,"[""mice"", ""custard""]",67,2,55,10,1.0,0.0,28,"[""mice"", ""custard""]","{""custard"": ""Non Visual, Concept Related"", ""mice"": ""Non Visual, Concept Related""}"
"[""champagne"", ""judo"", ""splinter"", ""neck"", ""blackboard"", ""marsh"", ""writer"", ""mice"", ""maple"", ""custard""]",learn,"[""neck"", ""blackboard"", ""writer""]",50,3,59,10,1.0,0.0,29,"[""blackboard"", ""neck"", ""writer""]","{""writer"": ""Non Visual, Concept Related"", ""blackboard"": ""Non Visual, Concept Related"", ""neck"": ""Visually Non-Salient""}"
"[""dew"", ""cage"", ""shark"", ""tendon"", ""centipede"", ""antarctic"", ""pan"", ""trailer"", ""scarf"", ""yard"", ""sticker"", ""tick""]",verdant,"[""dew"", ""yard""]",0,2,66,12,1.0,0.0,32,"[""dew"", ""yard""]","{""dew"": ""Visually Non-Salient"", ""yard"": ""Visually Non-Salient""}"
"[""dew"", ""cage"", ""shark"", ""tendon"", ""centipede"", ""antarctic"", ""pan"", ""trailer"", ""scarf"", ""yard"", ""sticker"", ""tick""]",crawly,"[""centipede"", ""tick""]",0,2,68,12,1.0,0.0,33,"[""centipede"", ""tick""]","{""tick"": ""Non Visual, Concept Related"", ""centipede"": ""Non Visual, Concept Related""}"
"[""dew"", ""cage"", ""shark"", ""tendon"", ""centipede"", ""antarctic"", ""pan"", ""trailer"", ""scarf"", ""yard"", ""sticker"", ""tick""]",bite,"[""shark"", ""tick""]",67,2,69,12,1.0,0.0,34,"[""centipede"", ""shark""]","{""tick"": ""Non Visual, Concept Related"", ""shark"": ""Non Visual, Concept Related""}"
"[""dew"", ""cage"", ""shark"", ""tendon"", ""centipede"", ""antarctic"", ""pan"", ""trailer"", ""scarf"", ""yard"", ""sticker"", ""tick""]",insect,"[""centipede"", ""tick""]",67,2,70,12,1.0,0.0,35,"[""centipede"", ""tick""]","{""centipede"": ""Visually Salient Object"", ""tick"": ""Non Visual, Concept Related""}"
"[""dew"", ""cage"", ""shark"", ""tendon"", ""centipede"", ""antarctic"", ""pan"", ""trailer"", ""scarf"", ""yard"", ""sticker"", ""tick""]",metal,"[""cage"", ""pan"", ""trailer""]",50,3,71,12,1.0,0.0,36,"[""cage"", ""pan"", ""centipede""]","{""trailer"": ""Visually Non-Salient"", ""pan"": ""Non Visual, Concept Related"", ""cage"": ""Non Visual, Concept Related""}"
"[""bride"", ""edge"", ""high school"", ""fork"", ""write"", ""hyena"", ""recipe"", ""worker"", ""handyman"", ""medal"", ""brook"", ""palm tree""]",hat,"[""handyman"", ""brook""]",67,2,77,12,1.0,0.0,37,"[""brook"", ""edge""]","{""handyman"": ""Visually Non-Salient"", ""brook"": ""Visually Non-Salient""}"
"[""furniture"", ""urine"", ""march"", ""brain"", ""cavity"", ""gulp"", ""wire"", ""lotion"", ""linen"", ""snout""]",checkup,"[""urine"", ""cavity""]",67,2,78,10,1.0,0.0,38,"[""cavity"", ""urine""]","{""urine"": ""Non Visual, Concept Related"", ""cavity"": ""Visually Non-Salient""}"
"[""furniture"", ""urine"", ""march"", ""brain"", ""cavity"", ""gulp"", ""wire"", ""lotion"", ""linen"", ""snout""]",pain,"[""brain"", ""cavity""]",67,2,82,10,1.0,0.0,39,"[""cavity"", ""linen""]","{""brain"": ""Non Visual, Concept Related"", ""cavity"": ""Visually Non-Salient""}"
"[""furniture"", ""urine"", ""march"", ""brain"", ""cavity"", ""gulp"", ""wire"", ""lotion"", ""linen"", ""snout""]",examination,"[""urine"", ""brain"", ""cavity""]",80,3,83,10,1.0,0.0,40,"[""brain"", ""urine"", ""linen""]","{""brain"": ""Non Visual, Concept Related"", ""cavity"": ""Visually Non-Salient"", ""urine"": ""Non Visual, Concept Related""}"
"[""cell"", ""hat"", ""muscle"", ""silver"", ""umbrella"", ""castle"", ""tights"", ""coat"", ""bedroom"", ""glitter""]",guide,"[""cell"", ""muscle""]",0,2,84,10,1.0,0.0,41,"[""muscle"", ""hat""]","{""muscle"": ""Visually Non-Salient"", ""cell"": ""Visually Non-Salient""}"
"[""cell"", ""hat"", ""muscle"", ""silver"", ""umbrella"", ""castle"", ""tights"", ""coat"", ""bedroom"", ""glitter""]",cover,"[""hat"", ""umbrella"", ""coat""]",50,3,85,10,0.83,0.24,42,"[""hat"", ""silver"", ""umbrella""]","{""umbrella"": ""Non Visual, Concept Related"", ""coat"": ""Visually Non-Salient"", ""hat"": ""Non Visual, Concept Related""}"
"[""cell"", ""hat"", ""muscle"", ""silver"", ""umbrella"", ""castle"", ""tights"", ""coat"", ""bedroom"", ""glitter""]",female,"[""tights"", ""coat""]",100,2,86,10,1.0,0.0,43,"[""tights"", ""muscle""]","{""coat"": ""Visually Salient Object"", ""tights"": ""Visually Salient Object""}"
"[""cell"", ""hat"", ""muscle"", ""silver"", ""umbrella"", ""castle"", ""tights"", ""coat"", ""bedroom"", ""glitter""]",legs,"[""tights"", ""coat""]",67,2,87,10,1.0,0.0,44,"[""muscle"", ""tights""]","{""tights"": ""Visually Salient Object"", ""coat"": ""Visually Non-Salient""}"
"[""cell"", ""hat"", ""muscle"", ""silver"", ""umbrella"", ""castle"", ""tights"", ""coat"", ""bedroom"", ""glitter""]",karen,"[""tights"", ""coat""]",100,2,88,10,1.0,0.0,45,"[""coat"", ""silver""]","{""tights"": ""Visually Non-Salient"", ""coat"": ""Non Visual, Concept Related""}"
"[""plane"", ""senator"", ""tusk"", ""theater"", ""piece"", ""curly"", ""carbon"", ""throw"", ""suds"", ""lion"", ""bell"", ""court""]",attend,"[""theater"", ""court""]",100,2,91,12,1.0,0.0,46,"[""bell"", ""theater""]","{""theater"": ""Non Visual, Concept Related"", ""court"": ""Visually Non-Salient""}"
"[""plane"", ""senator"", ""tusk"", ""theater"", ""piece"", ""curly"", ""carbon"", ""throw"", ""suds"", ""lion"", ""bell"", ""court""]",midlife,"[""senator"", ""tusk""]",100,2,92,12,1.0,0.0,47,"[""throw"", ""bell""]","{""tusk"": ""Visually Non-Salient"", ""senator"": ""Visually Non-Salient""}"
"[""plane"", ""senator"", ""tusk"", ""theater"", ""piece"", ""curly"", ""carbon"", ""throw"", ""suds"", ""lion"", ""bell"", ""court""]",indoor,"[""theater"", ""piece"", ""court""]",100,3,95,12,0.83,0.24,49,"[""carbon"", ""throw"", ""theater""]","{""court"": ""Visually Non-Salient"", ""theater"": ""Visually Non-Salient"", ""piece"": ""Visually Non-Salient""}"
"[""gym"", ""spasm"", ""morse code"", ""lamp"", ""table"", ""mucus"", ""boyfriend"", ""shovel"", ""throat"", ""runway"", ""logo"", ""dorm""]",female,"[""spasm"", ""boyfriend"", ""runway""]",80,3,96,12,1.0,0.0,50,"[""throat"", ""lamp"", ""shovel""]","{""spasm"": ""Visually Salient Object"", ""boyfriend"": ""Visually Salient Object"", ""runway"": ""Visually Salient Object""}"
"[""gym"", ""spasm"", ""morse code"", ""lamp"", ""table"", ""mucus"", ""boyfriend"", ""shovel"", ""throat"", ""runway"", ""logo"", ""dorm""]",girl,"[""spasm"", ""boyfriend"", ""runway""]",80,3,97,12,1.0,0.0,51,"[""runway"", ""boyfriend"", ""table""]","{""spasm"": ""Visually Non-Salient"", ""runway"": ""Visually Salient Object"", ""boyfriend"": ""Visually Salient Object""}"
"[""gym"", ""spasm"", ""morse code"", ""lamp"", ""table"", ""mucus"", ""boyfriend"", ""shovel"", ""throat"", ""runway"", ""logo"", ""dorm""]",gasp,"[""mucus"", ""throat""]",100,2,101,12,1.0,0.0,52,"[""morse code"", ""runway""]","{""throat"": ""Visually Non-Salient"", ""mucus"": ""Visually Non-Salient""}"
"[""little finger"", ""medal"", ""spill"", ""stomach"", ""jumper"", ""peach"", ""pee"", ""cabin"", ""blind"", ""record""]",acid,"[""spill"", ""stomach""]",67,2,103,10,1.0,0.0,53,"[""spill"", ""little finger""]","{""stomach"": ""Non Visual, Concept Related"", ""spill"": ""Non Visual, Concept Related""}"
"[""little finger"", ""medal"", ""spill"", ""stomach"", ""jumper"", ""peach"", ""pee"", ""cabin"", ""blind"", ""record""]",gold,"[""medal"", ""record""]",0,2,105,10,1.0,0.0,55,"[""medal"", ""record""]","{""record"": ""Non Visual, Concept Related"", ""medal"": ""Visually Non-Salient""}"
"[""mouth"", ""assistant"", ""tan"", ""playstation"", ""meth"", ""gulp"", ""calendar"", ""cooler"", ""soda"", ""ground"", ""dinner"", ""mayflower""]",canvas,"[""tan"", ""mayflower""]",67,2,111,12,1.0,0.0,56,"[""tan"", ""soda""]","{""mayflower"": ""Visually Non-Salient"", ""tan"": ""Visually Non-Salient""}"
"[""mouth"", ""assistant"", ""tan"", ""playstation"", ""meth"", ""gulp"", ""calendar"", ""cooler"", ""soda"", ""ground"", ""dinner"", ""mayflower""]",fishing,"[""gulp"", ""cooler"", ""mayflower""]",50,3,112,12,0.83,0.24,57,"[""mayflower"", ""tan"", ""gulp""]","{""mayflower"": ""Visually Non-Salient"", ""gulp"": ""OCR"", ""cooler"": ""Non Visual, Concept Related""}"
"[""hearth"", ""hearts"", ""skip"", ""bedroom"", ""rust"", ""cigar"", ""grandmother"", ""guard"", ""spinach"", ""stereo"", ""lad"", ""sandal""]",three,"[""hearts"", ""rust"", ""stereo""]",80,3,114,12,1.0,0.0,58,"[""hearts"", ""skip"", ""lad""]","{""hearts"": ""Counting"", ""stereo"": ""Counting"", ""rust"": ""Counting""}"
"[""hearth"", ""hearts"", ""skip"", ""bedroom"", ""rust"", ""cigar"", ""grandmother"", ""guard"", ""spinach"", ""stereo"", ""lad"", ""sandal""]",incinerator,"[""hearth"", ""skip""]",0,2,115,12,1.0,0.0,59,"[""skip"", ""rust""]","{""skip"": ""Visually Non-Salient"", ""hearth"": ""Visually Non-Salient""}"
"[""hearth"", ""hearts"", ""skip"", ""bedroom"", ""rust"", ""cigar"", ""grandmother"", ""guard"", ""spinach"", ""stereo"", ""lad"", ""sandal""]",naptime,"[""bedroom"", ""grandmother""]",67,2,116,12,1.0,0.0,60,"[""skip"", ""hearts""]","{""grandmother"": ""Visually Non-Salient"", ""bedroom"": ""Non Visual, Concept Related""}"
"[""hearth"", ""hearts"", ""skip"", ""bedroom"", ""rust"", ""cigar"", ""grandmother"", ""guard"", ""spinach"", ""stereo"", ""lad"", ""sandal""]",metal,"[""hearth"", ""skip"", ""rust""]",50,3,118,12,1.0,0.0,61,"[""skip"", ""rust"", ""hearts""]","{""rust"": ""Visually Non-Salient"", ""hearth"": ""Visually Non-Salient"", ""skip"": ""Visually Non-Salient""}"
"[""hearth"", ""hearts"", ""skip"", ""bedroom"", ""rust"", ""cigar"", ""grandmother"", ""guard"", ""spinach"", ""stereo"", ""lad"", ""sandal""]",room,"[""hearth"", ""bedroom""]",67,2,119,12,1.0,0.0,62,"[""bedroom"", ""hearts""]","{""hearth"": ""Visually Non-Salient"", ""bedroom"": ""Visually Salient Object""}"
"[""strap"", ""prison"", ""liter"", ""scales"", ""pancake"", ""bride"", ""hot tub"", ""family"", ""director"", ""steroids""]",edible,"[""scales"", ""pancake""]",100,2,120,10,1.0,0.0,63,"[""pancake"", ""liter""]","{""pancake"": ""Non Visual, Concept Related"", ""scales"": ""Visually Non-Salient""}"
"[""strap"", ""prison"", ""liter"", ""scales"", ""pancake"", ""bride"", ""hot tub"", ""family"", ""director"", ""steroids""]",two,"[""strap"", ""prison"", ""director""]",80,3,121,10,1.0,0.0,64,"[""strap"", ""liter"", ""steroids""]","{""director"": ""Counting"", ""prison"": ""Counting"", ""strap"": ""Counting""}"
"[""strap"", ""prison"", ""liter"", ""scales"", ""pancake"", ""bride"", ""hot tub"", ""family"", ""director"", ""steroids""]",metric,"[""liter"", ""scales""]",0,2,124,10,1.0,0.0,65,"[""scales"", ""liter""]","{""liter"": ""Visually Non-Salient"", ""scales"": ""Non Visual, Concept Related""}"
"[""strap"", ""prison"", ""liter"", ""scales"", ""pancake"", ""bride"", ""hot tub"", ""family"", ""director"", ""steroids""]",wrist,"[""strap"", ""prison"", ""steroids""]",50,3,125,10,0.83,0.24,66,"[""strap"", ""steroids"", ""liter""]","{""prison"": ""Visually Non-Salient"", ""strap"": ""Non Visual, Concept Related"", ""steroids"": ""Visually Non-Salient""}"
"[""freezing"", ""kneel"", ""doorstop"", ""screen"", ""racket"", ""insulin"", ""colonoscopy"", ""song"", ""pope"", ""pulp""]",ESPN,"[""kneel"", ""racket""]",67,2,127,10,1.0,0.0,67,"[""screen"", ""kneel""]","{""racket"": ""Non Visual, Concept Related"", ""kneel"": ""Non Visual, Concept Related""}"
"[""freezing"", ""kneel"", ""doorstop"", ""screen"", ""racket"", ""insulin"", ""colonoscopy"", ""song"", ""pope"", ""pulp""]",sport,"[""kneel"", ""racket""]",67,2,128,10,1.0,0.0,68,"[""racket"", ""doorstop""]","{""racket"": ""Non Visual, Concept Related"", ""kneel"": ""Non Visual, Concept Related""}"
"[""freezing"", ""kneel"", ""doorstop"", ""screen"", ""racket"", ""insulin"", ""colonoscopy"", ""song"", ""pope"", ""pulp""]",male,"[""kneel"", ""song"", ""pope""]",100,3,129,10,1.0,0.0,69,"[""doorstop"", ""freezing"", ""pulp""]","{""song"": ""Visually Non-Salient"", ""kneel"": ""Visually Salient Object"", ""pope"": ""Visually Non-Salient""}"
"[""freezing"", ""kneel"", ""doorstop"", ""screen"", ""racket"", ""insulin"", ""colonoscopy"", ""song"", ""pope"", ""pulp""]",sweat,"[""freezing"", ""kneel"", ""racket""]",80,3,131,10,0.83,0.24,70,"[""freezing"", ""doorstop"", ""racket""]","{""racket"": ""Non Visual, Concept Related"", ""kneel"": ""Non Visual, Concept Related"", ""freezing"": ""Visually Non-Salient""}"
"[""grape"", ""letter"", ""cooking"", ""boots"", ""cent"", ""oatmeal"", ""cream cheese"", ""basil"", ""bin"", ""mermaid"", ""darts"", ""potassium""]",male,"[""cooking"", ""darts""]",100,2,134,12,1.0,0.0,71,"[""basil"", ""grape""]","{""cooking"": ""Visually Non-Salient"", ""darts"": ""Visually Non-Salient""}"
"[""grape"", ""letter"", ""cooking"", ""boots"", ""cent"", ""oatmeal"", ""cream cheese"", ""basil"", ""bin"", ""mermaid"", ""darts"", ""potassium""]",female,"[""cooking"", ""mermaid""]",67,2,135,12,1.0,0.0,72,"[""basil"", ""mermaid""]","{""cooking"": ""Visually Non-Salient"", ""mermaid"": ""Visually Salient Object""}"
"[""television"", ""reed"", ""troll"", ""dress"", ""pictures"", ""tribe"", ""valley"", ""flake"", ""raccoon"", ""prime minister""]",smile,"[""troll"", ""dress"", ""tribe""]",80,3,143,10,1.0,0.0,74,"[""raccoon"", ""troll"", ""dress""]","{""dress"": ""Visually Non-Salient"", ""troll"": ""Visually Non-Salient"", ""tribe"": ""Visually Salient Activity""}"
"[""butler"", ""tissue"", ""food"", ""incense"", ""lead"", ""siren"", ""niece"", ""shout"", ""store"", ""edge"", ""sandpaper"", ""cupcake""]",vegetable,"[""food"", ""store""]",0,2,146,12,1.0,0.0,75,"[""food"", ""tissue""]","{""store"": ""Visually Non-Salient"", ""food"": ""Visually Salient Object""}"
"[""butler"", ""tissue"", ""food"", ""incense"", ""lead"", ""siren"", ""niece"", ""shout"", ""store"", ""edge"", ""sandpaper"", ""cupcake""]",employee,"[""butler"", ""shout""]",67,2,147,12,1.0,0.0,76,"[""shout"", ""edge""]","{""shout"": ""Visually Non-Salient"", ""butler"": ""Visually Non-Salient""}"
"[""parmesan"", ""lingerie"", ""typhoon"", ""cable"", ""violin"", ""mow"", ""maple"", ""train"", ""resident"", ""whirlwind"", ""guitar"", ""weave""]",leaves,"[""maple"", ""train""]",67,2,152,12,1.0,0.0,77,"[""maple"", ""lingerie""]","{""train"": ""Visually Non-Salient"", ""maple"": ""Visually Non-Salient""}"
"[""parmesan"", ""lingerie"", ""typhoon"", ""cable"", ""violin"", ""mow"", ""maple"", ""train"", ""resident"", ""whirlwind"", ""guitar"", ""weave""]",frequency,"[""violin"", ""guitar""]",100,2,153,12,1.0,0.0,78,"[""weave"", ""lingerie""]","{""guitar"": ""Non Visual, Concept Related"", ""violin"": ""Non Visual, Concept Related""}"
"[""parmesan"", ""lingerie"", ""typhoon"", ""cable"", ""violin"", ""mow"", ""maple"", ""train"", ""resident"", ""whirlwind"", ""guitar"", ""weave""]",beauty,"[""lingerie"", ""weave""]",67,2,154,12,1.0,0.0,79,"[""maple"", ""violin""]","{""weave"": ""Non Visual, Concept Related"", ""lingerie"": ""Non Visual, Concept Related""}"
"[""parmesan"", ""lingerie"", ""typhoon"", ""cable"", ""violin"", ""mow"", ""maple"", ""train"", ""resident"", ""whirlwind"", ""guitar"", ""weave""]",loud,"[""violin"", ""mow"", ""train"", ""guitar""]",67,4,155,12,1.0,0.0,80,"[""parmesan"", ""weave"", ""violin"", ""maple""]","{""violin"": ""Non Visual, Concept Related"", ""guitar"": ""Non Visual, Concept Related"", ""train"": ""Non Visual, Concept Related"", ""mow"": ""Non Visual, Concept Related""}"
"[""copper"", ""teapot"", ""turban"", ""diarrhea"", ""valve"", ""computer"", ""standing"", ""yogurt"", ""diving"", ""equipment""]",bacteria,"[""diarrhea"", ""yogurt""]",67,2,156,10,1.0,0.0,81,"[""computer"", ""diarrhea""]","{""diarrhea"": ""Non Visual, Concept Related"", ""yogurt"": ""OCR""}"
"[""copper"", ""teapot"", ""turban"", ""diarrhea"", ""valve"", ""computer"", ""standing"", ""yogurt"", ""diving"", ""equipment""]",human,"[""turban"", ""standing"", ""diving""]",80,3,158,10,1.0,0.0,82,"[""computer"", ""turban"", ""equipment""]","{""turban"": ""Visually Salient Object"", ""diving"": ""Visually Non-Salient"", ""standing"": ""Visually Salient Object""}"
"[""copper"", ""teapot"", ""turban"", ""diarrhea"", ""valve"", ""computer"", ""standing"", ""yogurt"", ""diving"", ""equipment""]",hair,"[""turban"", ""standing"", ""diving""]",80,3,159,10,1.0,0.0,83,"[""equipment"", ""computer"", ""teapot""]","{""turban"": ""Visually Non-Salient"", ""standing"": ""Visually Non-Salient"", ""diving"": ""Visually Non-Salient""}"
"[""copper"", ""teapot"", ""turban"", ""diarrhea"", ""valve"", ""computer"", ""standing"", ""yogurt"", ""diving"", ""equipment""]",gut,"[""diarrhea"", ""yogurt""]",100,2,161,10,1.0,0.0,84,"[""computer"", ""yogurt""]","{""diarrhea"": ""Non Visual, Concept Related"", ""yogurt"": ""OCR""}"
"[""throw up"", ""snot"", ""cane"", ""punch"", ""makeup"", ""coliseum"", ""ash"", ""chin"", ""surface"", ""cardboard"", ""ice"", ""cook""]",hangover,"[""throw up"", ""punch""]",67,2,163,12,1.0,0.0,85,"[""throw up"", ""snot""]","{""punch"": ""Visually Non-Salient"", ""throw up"": ""Non Visual, Concept Related""}"
"[""throw up"", ""snot"", ""cane"", ""punch"", ""makeup"", ""coliseum"", ""ash"", ""chin"", ""surface"", ""cardboard"", ""ice"", ""cook""]",chilled,"[""punch"", ""ice""]",67,2,165,12,1.0,0.0,86,"[""snot"", ""ice""]","{""punch"": ""Visually Non-Salient"", ""ice"": ""Visually Non-Salient""}"
"[""stock"", ""shrimp"", ""uncle"", ""sandal"", ""nights"", ""slipper"", ""dirt"", ""night"", ""cream cheese"", ""scotch""]",male,"[""uncle"", ""nights""]",100,2,168,10,1.0,0.0,87,"[""dirt"", ""uncle""]","{""uncle"": ""Visually Salient Object"", ""nights"": ""Visually Non-Salient""}"
